iter	RMSE
0	14.48790553
1	13.98879627
2	13.49348639
3	13.01903105
4	12.55868813
5	12.14219476
6	11.72640432
7	11.32379504
8	10.92499744
9	10.55512913
10	10.19717105
11	9.844243346
12	9.501248178
13	9.178272967
14	8.869892531
15	8.573159525
16	8.272921321
17	7.988017506
18	7.719540103
19	7.461456048
20	7.202194261
21	6.957462246
22	6.714259807
23	6.497887944
24	6.276734629
25	6.068560804
26	5.868432717
27	5.665875062
28	5.478468374
29	5.299201763
30	5.128153065
31	4.967062614
32	4.803730593
33	4.649548353
34	4.498016671
35	4.368484267
36	4.222772139
37	4.100209617
38	3.967114186
39	3.836166228
40	3.713113556
41	3.596378119
42	3.479254338
43	3.369527102
44	3.261019757
45	3.159628694
46	3.059822978
47	2.962432382
48	2.867857306
49	2.777602289
50	2.692711088
51	2.610811512
52	2.532937725
53	2.455223393
54	2.379188912
55	2.30723505
56	2.237188161
57	2.172279162
58	2.107256765
59	2.044258115
60	1.983619063
61	1.92663956
62	1.874300192
63	1.822586222
64	1.770871337
65	1.721586564
66	1.673140521
67	1.626103481
68	1.581573194
69	1.538726422
70	1.495311118
71	1.456062784
72	1.420057636
73	1.3823124
74	1.349030054
75	1.314314249
76	1.281011722
77	1.251134389
78	1.221266254
79	1.192705399
80	1.165767479
81	1.142021066
82	1.113996992
83	1.087898178
84	1.062847893
85	1.039714711
86	1.017346108
87	0.994556679
88	0.9749226432
89	0.9543192383
90	0.9351135506
91	0.9179605786
92	0.8983937087
93	0.8810977104
94	0.8633854881
95	0.8480632404
96	0.8336501539
97	0.8197832477
98	0.815450377
99	0.7996339124
100	0.7842121306
101	0.7717477072
102	0.7579896023
103	0.7452219912
104	0.7353399289
105	0.7309323013
106	0.7270595629
107	0.7155960989
108	0.7114341022
109	0.7075686039
110	0.7038807413
111	0.7003469712
112	0.696328719
113	0.6871168773
114	0.6760312616
115	0.6648616791
116	0.661867791
117	0.6589195784
118	0.6473934767
119	0.6437545665
120	0.6335130094
121	0.625467747
122	0.6218919531
123	0.6186883196
124	0.6101033885
125	0.6043227051
126	0.5961797922
127	0.5928903871
128	0.5896200865
129	0.5866942892
130	0.5833454427
131	0.5744196082
132	0.5664593103
133	0.5597280299
134	0.5506660352
135	0.547683023
136	0.5394997368
137	0.5365440414
138	0.5338899322
