iter	Passed	Remaining
0	146	146357
1	148	74078
2	150	49926
3	153	38200
4	155	30963
5	157	26049
6	158	22551
7	160	19943
8	162	17858
9	163	16228
10	165	14855
11	167	13812
12	169	12850
13	171	12083
14	172	11346
15	174	10708
16	174	10118
17	175	9595
18	176	9135
19	177	8707
20	178	8334
21	179	7984
22	180	7666
23	181	7395
24	183	7163
25	184	6922
26	185	6698
27	187	6491
28	216	7255
29	217	7040
30	218	6834
31	221	6685
32	222	6528
33	224	6368
34	225	6217
35	227	6081
36	228	5946
37	229	5817
38	233	5761
39	235	5660
40	237	5549
41	238	5432
42	239	5319
43	239	5213
44	240	5107
45	241	5008
46	242	4915
47	243	4827
48	244	4752
49	246	4679
50	247	4601
51	248	4523
52	248	4448
53	250	4381
54	251	4321
55	253	4265
56	254	4206
57	256	4167
58	258	4127
59	260	4078
60	261	4028
61	262	3972
62	263	3920
63	264	3867
64	265	3814
65	265	3764
66	267	3718
67	268	3684
68	270	3646
69	271	3602
70	272	3561
71	272	3518
72	273	3478
73	274	3437
74	275	3396
75	276	3356
76	276	3317
77	277	3278
78	277	3240
79	278	3203
80	279	3176
81	281	3152
82	282	3121
83	283	3092
84	284	3060
85	285	3031
86	285	3000
87	286	2971
88	287	2942
89	288	2912
90	288	2883
91	289	2855
92	289	2827
93	290	2800
94	291	2777
95	293	2762
96	294	2740
97	295	2722
98	296	2699
99	297	2677
100	298	2654
101	298	2630
102	299	2607
103	300	2586
104	300	2564
105	301	2542
106	302	2521
107	302	2500
108	303	2479
109	304	2460
110	305	2448
111	306	2433
112	308	2422
113	310	2409
114	311	2394
115	312	2378
116	312	2361
117	313	2345
118	314	2330
119	315	2314
120	318	2315
121	320	2303
122	321	2291
123	322	2277
124	323	2265
125	324	2251
126	325	2236
127	326	2223
128	327	2209
129	328	2196
130	330	2189
131	331	2182
132	333	2173
133	334	2161
134	335	2150
135	336	2138
136	337	2127
137	338	2114
138	339	2104
139	340	2094
140	343	2091
141	344	2082
142	345	2072
143	346	2062
144	348	2052
145	349	2042
146	350	2033
147	351	2023
148	352	2014
149	354	2008
150	356	2002
151	357	1995
152	358	1986
153	360	1980
154	361	1972
155	362	1962
156	363	1954
157	365	1945
158	366	1938
159	368	1933
160	369	1924
161	370	1915
162	371	1907
163	372	1898
164	373	1890
165	374	1882
166	375	1874
167	376	1866
168	379	1864
169	382	1866
170	383	1857
171	384	1849
172	385	1843
173	386	1835
174	387	1827
175	388	1819
176	389	1812
177	391	1805
178	392	1800
179	394	1797
180	395	1791
181	396	1784
182	398	1777
183	399	1770
184	400	1763
185	401	1755
186	402	1749
187	403	1742
188	405	1739
189	407	1738
190	409	1732
191	410	1726
192	411	1719
193	412	1713
194	413	1706
195	414	1700
196	415	1693
197	417	1691
198	419	1688
199	420	1682
200	421	1676
201	422	1670
202	423	1664
203	425	1658
204	426	1652
205	427	1646
206	427	1639
207	429	1633
208	430	1629
209	431	1624
210	432	1618
211	433	1612
212	434	1605
213	435	1598
214	435	1591
215	436	1585
216	437	1579
217	438	1572
218	438	1565
219	439	1558
220	440	1551
221	440	1545
222	442	1541
223	443	1536
224	445	1533
225	445	1527
226	446	1521
227	447	1515
228	448	1508
229	448	1502
230	449	1496
231	450	1490
232	450	1484
233	451	1478
234	452	1471
235	452	1466
236	453	1461
237	455	1457
238	456	1453
239	457	1449
240	458	1443
241	459	1438
242	459	1432
243	460	1427
244	461	1421
245	462	1416
246	462	1410
247	463	1404
248	463	1398
249	464	1393
250	465	1388
251	465	1383
252	466	1378
253	468	1375
254	469	1372
255	470	1367
256	471	1362
257	472	1357
258	472	1352
259	473	1347
260	474	1342
261	474	1337
262	475	1332
263	476	1327
264	476	1321
265	477	1317
266	477	1312
267	478	1307
268	479	1303
269	494	1338
270	496	1334
271	497	1331
272	498	1327
273	499	1322
274	500	1318
275	500	1313
276	501	1308
277	502	1304
278	502	1299
279	503	1294
280	504	1289
281	504	1284
282	505	1280
283	506	1275
284	506	1271
285	507	1267
286	509	1264
287	510	1262
288	511	1258
289	512	1253
290	512	1249
291	513	1245
292	514	1241
293	515	1236
294	515	1232
295	516	1227
296	516	1223
297	517	1219
298	518	1215
299	519	1211
300	520	1207
301	521	1205
302	523	1203
303	523	1199
304	524	1195
305	525	1191
306	526	1187
307	526	1183
308	527	1179
309	528	1175
310	528	1171
311	529	1167
312	530	1163
313	530	1159
314	531	1155
315	532	1151
316	533	1149
317	534	1146
318	536	1144
319	537	1141
320	537	1137
321	538	1134
322	539	1130
323	539	1126
324	540	1122
325	541	1119
326	541	1115
327	542	1111
328	543	1107
329	543	1104
330	544	1100
331	545	1097
332	547	1096
333	548	1093
334	549	1090
335	549	1086
336	551	1084
337	551	1080
338	552	1077
339	552	1073
340	553	1069
341	554	1066
342	554	1063
343	555	1059
344	556	1056
345	556	1052
346	557	1049
347	559	1047
348	560	1045
349	561	1042
350	562	1039
351	563	1036
352	563	1033
353	564	1030
354	565	1026
355	565	1023
356	566	1020
357	567	1017
358	567	1013
359	568	1010
360	569	1007
361	569	1004
362	570	1001
363	572	999
364	573	997
365	574	994
366	575	991
367	575	989
368	576	985
369	577	982
370	577	979
371	578	976
372	579	973
373	579	970
374	580	967
375	581	964
376	581	961
377	582	958
378	583	956
379	584	954
380	586	952
381	587	950
382	588	947
383	588	944
384	589	941
385	590	938
386	590	935
387	591	932
388	592	929
389	592	927
390	593	924
391	593	921
392	594	918
393	595	916
394	597	914
395	598	912
396	599	910
397	600	907
398	601	905
399	601	902
400	602	899
401	603	897
402	603	894
403	604	891
404	605	889
405	605	886
406	606	883
407	607	880
408	608	878
409	611	879
410	623	894
411	625	892
412	626	890
413	627	888
414	628	885
415	629	883
416	629	880
417	630	877
418	631	875
419	631	872
420	632	869
421	633	867
422	633	864
423	634	861
424	634	859
425	635	856
426	636	853
427	637	852
428	638	850
429	640	848
430	640	845
431	641	843
432	642	841
433	642	838
434	643	836
435	644	833
436	644	830
437	645	828
438	646	825
439	646	823
440	647	820
441	648	818
442	649	816
443	650	814
444	651	812
445	653	811
446	653	808
447	654	806
448	655	804
449	656	802
450	656	799
451	657	797
452	658	794
453	658	792
454	659	790
455	660	787
456	660	785
457	661	782
458	662	781
459	664	779
460	665	778
461	666	775
462	667	774
463	668	771
464	668	769
465	669	767
466	670	764
467	670	762
468	671	759
469	671	757
470	672	755
471	673	753
472	673	750
473	674	748
474	676	747
475	677	745
476	678	744
477	679	741
478	680	739
479	680	737
480	681	735
481	682	733
482	682	730
483	683	728
484	684	726
485	684	724
486	685	722
487	686	720
488	686	717
489	688	716
490	689	714
491	690	713
492	691	711
493	692	709
494	693	707
495	694	705
496	694	703
497	695	700
498	695	698
499	696	696
500	697	694
501	697	692
502	698	690
503	699	688
504	699	685
505	701	684
506	702	682
507	703	681
508	704	679
509	705	677
510	706	675
511	706	673
512	707	671
513	708	669
514	708	667
515	709	665
516	709	663
517	710	661
518	711	659
519	711	657
520	713	655
521	714	654
522	716	653
523	716	651
524	717	649
525	718	647
526	719	645
527	719	643
528	720	641
529	721	639
530	721	637
531	722	635
532	723	633
533	723	631
534	724	629
535	725	627
536	726	626
537	727	624
538	729	623
539	729	621
540	730	619
541	731	618
542	732	616
543	732	614
544	733	612
545	734	610
546	734	608
547	735	606
548	736	605
549	737	603
550	738	601
551	739	600
552	741	599
553	742	597
554	742	595
555	743	593
556	744	592
557	745	590
558	745	588
559	746	586
560	747	584
561	747	582
562	748	581
563	749	579
564	750	577
565	751	576
566	753	575
567	754	573
568	755	572
569	757	571
570	758	569
571	759	568
572	760	566
573	761	565
574	762	563
575	764	563
576	767	562
577	768	560
578	769	559
579	770	558
580	772	556
581	773	555
582	774	554
583	777	553
584	779	552
585	780	551
586	781	550
587	783	548
588	784	547
589	785	545
590	786	544
591	787	542
592	789	541
593	791	540
594	792	539
595	793	537
596	794	536
597	796	535
598	797	533
599	798	532
600	799	530
