iter	Passed	Remaining
0	1	1305
1	2	1202
2	3	1168
3	4	1152
4	5	1178
5	7	1283
6	9	1303
7	10	1276
8	11	1248
9	12	1220
10	13	1210
11	14	1198
12	15	1200
13	16	1190
14	17	1180
15	19	1170
16	20	1157
17	21	1151
18	22	1154
19	23	1151
20	24	1140
21	25	1129
22	26	1119
23	27	1108
24	28	1093
25	28	1078
26	29	1065
27	30	1053
28	31	1042
29	31	1032
30	32	1028
31	33	1022
32	34	1015
33	35	1007
34	36	1002
35	37	999
36	38	995
37	39	987
38	39	978
39	40	972
40	41	968
41	42	961
42	42	952
43	43	943
44	44	935
45	44	926
46	45	919
47	46	913
48	46	906
49	47	900
50	48	896
51	48	889
52	49	884
53	50	880
54	50	875
55	52	880
56	52	876
57	53	872
58	54	871
59	55	873
60	56	871
61	57	868
62	58	864
63	58	862
64	59	857
65	60	851
66	60	846
67	61	840
68	61	835
69	62	830
70	63	824
71	63	819
72	64	814
73	64	809
74	65	805
75	66	807
76	67	809
77	68	807
78	68	803
79	69	798
80	69	793
81	70	788
82	70	781
83	71	779
84	72	776
85	72	772
86	73	768
87	73	763
88	74	759
89	74	754
90	75	750
91	75	746
92	76	742
93	76	738
94	77	734
95	77	730
96	78	726
97	78	725
98	79	723
99	80	722
100	81	721
101	81	721
102	82	721
103	83	721
104	84	720
105	85	718
106	85	717
107	86	715
108	87	714
109	88	712
110	88	711
111	89	710
112	90	708
113	90	706
114	91	705
115	92	704
116	93	702
117	93	701
118	94	700
119	95	699
120	96	697
121	96	695
122	97	696
123	98	697
124	99	696
125	100	695
126	100	693
127	101	692
128	102	691
129	103	690
130	103	689
131	104	688
132	105	686
133	106	685
134	106	684
135	107	683
136	108	682
137	109	681
138	109	680
139	110	679
140	111	678
141	112	676
142	112	677
143	114	677
144	114	676
145	115	676
146	116	675
147	117	674
148	117	673
149	118	671
150	119	671
151	120	670
152	120	669
153	121	668
154	122	667
155	123	667
156	124	667
157	125	667
158	126	667
159	127	667
160	127	664
161	128	665
162	129	664
163	130	663
164	130	662
165	131	661
166	132	659
167	133	658
168	133	657
169	134	656
170	135	655
171	135	654
172	136	652
173	137	651
174	137	649
175	138	648
176	139	647
177	139	646
178	140	644
179	141	643
180	142	642
181	142	642
182	143	641
183	144	640
184	145	639
185	145	638
186	146	637
187	147	636
188	147	634
189	148	632
190	149	631
191	149	629
192	150	627
193	150	626
194	151	624
195	151	623
196	152	621
197	153	620
198	153	618
199	154	617
200	154	615
201	155	614
202	155	612
203	156	610
204	157	609
205	157	608
206	158	607
207	159	607
208	160	605
209	160	604
210	161	603
211	162	603
212	162	601
213	163	600
214	163	598
215	164	597
216	165	595
217	165	594
218	166	592
219	166	591
220	167	589
221	167	588
222	168	587
223	169	585
224	169	584
225	170	583
226	170	581
227	171	580
228	171	578
229	172	577
230	173	577
231	174	576
232	174	575
233	175	574
234	176	573
235	176	571
236	177	570
237	177	569
238	178	567
239	178	566
240	179	565
241	179	563
242	180	562
243	181	561
244	181	559
245	182	558
246	182	557
247	183	555
248	183	554
249	184	553
250	185	552
251	185	551
252	186	549
253	186	548
254	187	547
255	188	547
256	189	547
257	189	546
258	190	545
259	191	544
260	192	543
261	192	542
262	193	541
263	193	540
264	194	539
265	194	537
266	195	536
267	196	535
268	196	534
269	197	532
270	197	531
271	198	530
272	198	529
273	199	528
274	199	527
275	200	525
276	201	524
277	201	523
278	202	522
279	202	521
280	203	520
281	204	520
282	204	519
283	205	518
284	206	517
285	206	516
286	207	516
287	208	515
288	209	515
289	210	515
290	211	514
291	211	512
292	212	511
293	212	510
294	213	509
295	213	508
296	214	507
297	215	506
298	215	505
299	216	504
300	216	503
301	217	502
302	217	501
303	218	500
304	219	500
305	220	500
306	221	500
307	222	499
308	223	498
309	224	498
310	224	497
311	225	496
312	225	495
313	226	494
314	226	493
315	227	492
316	228	491
317	228	490
318	229	489
319	229	488
320	230	486
321	230	485
322	231	484
323	231	483
324	232	482
325	233	481
326	233	481
327	234	480
328	235	480
329	236	479
330	237	479
331	237	478
332	238	477
333	239	477
334	240	476
335	241	476
336	242	476
337	242	475
338	243	474
339	243	473
340	244	472
341	244	471
342	245	469
343	245	468
344	246	467
345	246	466
346	247	465
347	248	464
348	248	464
349	250	464
350	251	464
351	251	463
352	252	462
353	253	461
354	254	461
355	255	461
356	256	461
357	256	460
358	257	459
359	257	458
360	258	457
361	259	456
362	259	455
363	260	454
364	260	453
365	261	452
366	261	451
367	262	450
368	263	450
369	264	450
370	265	450
371	266	449
372	267	448
373	267	448
374	268	447
375	269	446
376	269	445
377	270	445
378	271	444
379	272	444
380	273	443
381	274	443
382	275	443
383	276	442
384	276	441
385	277	440
386	277	440
387	279	440
388	280	440
389	280	439
390	281	438
391	282	437
392	283	437
393	284	436
394	285	436
395	285	435
396	286	434
397	286	433
398	287	433
399	288	432
400	288	431
401	289	430
402	289	429
403	290	428
404	290	427
405	291	426
406	291	425
407	292	424
408	293	423
409	294	423
410	295	423
411	296	423
412	296	422
413	297	421
414	298	420
415	298	419
416	299	418
417	299	417
418	300	416
419	300	415
420	301	414
421	301	413
422	302	412
423	302	411
424	303	410
425	304	409
426	304	408
427	305	407
428	305	406
429	306	405
430	306	404
431	307	403
432	307	403
433	308	402
434	309	402
435	310	401
436	310	400
437	311	399
438	312	399
439	312	398
440	313	397
441	313	396
442	314	395
443	315	394
444	315	393
445	316	392
446	316	392
447	317	391
448	317	390
449	318	389
450	319	388
451	319	387
452	320	386
453	320	385
454	321	384
455	321	383
456	322	383
457	323	382
458	324	381
459	324	381
460	325	380
461	325	379
462	326	378
463	326	377
464	327	376
465	328	376
466	329	375
467	329	374
468	330	374
469	331	373
470	331	372
471	332	371
472	332	370
473	333	369
474	333	368
475	334	368
476	334	367
477	335	366
478	336	365
479	336	364
480	337	363
481	337	362
482	338	362
483	339	361
484	339	360
485	340	360
486	341	359
487	341	358
488	342	357
489	343	357
490	344	356
491	344	355
492	345	354
493	345	354
494	346	353
495	346	352
496	347	351
497	347	350
498	348	349
499	348	348
500	349	348
501	350	347
502	350	346
503	351	345
504	351	344
505	352	344
506	353	343
507	353	342
508	354	342
509	355	341
510	356	340
511	356	340
512	357	339
513	358	338
514	358	337
515	359	336
516	359	336
517	360	335
518	361	334
519	361	333
520	362	332
521	362	332
522	363	331
523	363	330
524	364	329
525	364	328
526	365	328
527	366	327
528	366	326
529	367	325
530	367	324
531	368	324
